element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.020778319757607706,-0.6791881231650551,0.22863467603270815,1.6162323178601297,-1.4100085217455975,-1.023587300234307,1.8466653851836456,-0.6047978703931949,0.43038135098232627,2.4704078922304844,1.020910440364211,-0.060426207471469776,-0.6091296798698809,-0.38173787104156226,-0.4134278916708905,2.243553559786521,-1.9593143372290005,0.6435133283222507,-0.8500127179637518,0.1826605068002066,0.01735423994583235,-1.8554154564651697,0.7731297623339815,-0.15158250705574536,3.5330038647414144,0.04682201432781062,1.105123609492964,-1.9282315603561304,0.20991871845647578,0.22143886564985657,-1.1082984516288936,-1.880899484238137
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.5472123022446502,-0.8371970275774504,0.4391440223002181,-0.47548961792171907,-0.35867694814512885,-0.3686077514432746,-0.220558620020803,-0.9405354093562533,-1.2654028334074927,2.25332755220031,2.0771119211599225,-0.20440082811535293,1.759688863948619,0.3027665224221552,0.1982013568989303,1.1980836277101945,0.6277614384400395,-0.6094477204055136,0.9279164960857194,0.028600377467231156,2.171699587504321,-1.0409344999068588,-0.008432617368643787,0.0432220859877657,1.7300470825928747,-1.180121925488733,1.9000963042786096,-1.244123158757927,1.074214711873907,-1.3711639809246738,-1.0047927578466371,0.590016288197035
Be,0.5200750863329678,-0.6835294402719431,-0.8444212294966935,0.037639218073469406,-1.2768908846167704,2.4767581425502025,1.95620845872312,0.97108893523011,0.9915758022900563,0.4027027583164756,0.7765301929062512,0.9439417906981767,1.2114390091256,1.77264433308876,-0.8283550163363217,0.8941523233941702,-0.09516694793694327,-0.7480609044101887,0.14859459859177765,1.491616113376788,1.1904407042433682,0.30132158462701614,0.5456868541596432,-0.15406761292018736,1.2104893969449706,0.16075335785096836,0.0899706516484544,-0.5426356590995478,1.4095602691965823,-1.3811150477950898,-1.6716735374540137,-2.1509855117696923
B,-0.2211551173891771,0.5750436837666095,-1.3344065709659778,-1.6166678560899197,-1.2217919196049376,2.310318318561206,0.3335073408298294,1.1377763103109597,2.0269931878528635,1.4176516231130682,-0.7398863894618437,-0.04102256887118999,0.06074261142507488,0.06743499766862057,-1.4939947963290727,2.1864098184222085,0.07084838280050418,-0.4138972442676243,-0.9595779987743209,0.2893169780179213,-1.0275668115362597,-0.6143953839364117,-1.1199332388926362,0.37570819745175843,0.7064115129930401,-1.3433462726452585,2.1691618505897265,0.4504093660766071,-0.16293403244734705,-1.062946915540491,-1.7996971598025964,-1.5768830154959406
C,-0.7257113272080674,1.124576198499142,-1.5193211582690032,-0.5406543924268806,-0.10332113519607292,1.3774692867116216,-0.696202697819603,0.3708847804850584,1.195931974656895,1.0549493510855608,-0.7841998020131229,-0.9578682924646589,-0.6139913240552008,-0.6244396666303821,0.1929643442052779,2.7354814560531704,0.050986007430492516,-1.262496321125323,-1.3570815539733159,2.272979822497649,-1.1459817816334459,-1.417102220685537,0.07538544214109186,0.5979215401734523,1.5083271982823367,-1.129444750330053,-0.7520465495456681,1.520552016139409,0.6120387816784745,0.726128741332519,-0.3715183070325497,-0.5749825437787067
N,2.4693298578995515,-1.0641219384865903,-1.6724233693092494,1.9528609409090327,0.37244494687451746,1.5103873434805488,-1.0670090286360345,1.3796823071419593,1.6937433759316038,0.6416361382115927,0.1664884796709538,-0.7337468397122909,-0.5878862330267729,-1.147711549861839,0.517132735145976,0.619426044001735,0.06500667812306145,-0.359178843247007,-0.7157757009908193,1.1648536177351423,-1.9205570711489144,-1.732020136286069,-1.763043242483228,1.5351728865500007,1.52286377122968,-1.4683277909636454,0.8155641279242077,-0.4835809880345996,0.7980689396872229,1.060418653302989,-0.9402070106936181,-0.8534005798305622
O,3.3713199334084716,0.10909859705927336,-0.5090057303336817,-0.07780340807684717,-1.2713661274408428,1.3821089077146889,-0.8615413188445759,0.8506510466608592,1.8343859851538509,1.080267431990691,-0.4055571370928183,-2.258559609049264,-0.4257801875435995,-0.2035928847257747,-0.0938227176548167,3.3782343574928766,-2.007396742219884,1.0429725227367568,-0.03286423784836286,1.079715466234615,0.11357448924385201,-1.912377560077029,-1.8902727217106465,0.5383254225614127,0.2381926919775269,-0.5059146979198818,-0.6320195966198092,-1.5895375132308038,0.7338297499645625,0.5797944425381901,0.8261237255381695,-0.48576811493589234
F,2.584468906147151,0.13340017175736432,1.090608072599094,0.2600604795391961,0.32060729113731135,-0.3660008426215111,0.1256204442847305,1.65739493616598,1.7788713051605332,1.1482376108578132,0.3072239925690199,-0.5562774301575636,-2.3127695373655968,-0.891629405766121,0.8413421993404894,2.844968253113058,-1.9785107034999807,1.1210933183761465,-0.7582937185700563,1.713061146794212,1.8381660532363868,-0.6660012391510304,0.162121463547158,1.6280620053804127,1.7246042731536413,-2.5766431722668024,0.1945234751729009,-0.08397198111192203,1.4583826047660213,0.20205377332580898,1.3361125799042848,-2.1385083468128316
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,-1.9749182187757737,-1.2544297247134495,0.3109653633797865,-1.1973820553869596,0.22790027865452125,-0.8172529554230012,0.1770901937689623,-0.7583368276403123,-0.8865530735830159,1.7393525233365412,2.162095331928382,-1.2124441118538787,2.286448670830311,0.8127796366454143,-0.09065287906173902,0.21536486290896711,-1.0501174560975812,-1.0858553439069156,0.786266822909393,-0.01654102225300136,1.6828004638509726,-0.2771411388287236,-1.6788685681419018,0.1681723730741978,0.9037308519010924,-0.9628971949029594,0.9179945678153664,-0.004543840248051612,1.6569610209000798,0.36780972639897125,-0.2788012967698457,1.70903620022382
Mg,0.041967884230390176,0.26054980658497,1.0613379051249163,1.231858851502613,-0.46543469992517617,0.014429386044399454,-0.15474659278861172,1.802750707368575,-0.9125663608991651,1.7302793802135852,-0.42339226963894555,-0.6014098621451422,1.5621025402954591,0.2314859015740557,-0.3117868023646562,-0.7956953303957802,0.4729536941807298,0.9141535398796511,-1.1008839657567682,-0.16188070244639527,0.4035542889260554,1.221693165574315,-2.1980539049789742,-1.3899134292316881,1.432419499571658,-1.8492919360663482,0.2037767553745958,-0.6509107569208211,-0.26904749493671093,-0.9847910827663157,-1.0634155048308334,-0.5827898519685162
