Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,MAE
MEGNet,megnet_emb,matbench_jdft2d,0,8,7.870319173149721,2.066857112374029,16.834091865766577,14.003349333291604,13.980117878138657,-0.02081171544166592,0.1749418093296824,39.00766372680664
MEGNet,megnet_emb,matbench_jdft2d,1,8,7.853996712371502,2.0729078568433508,16.849360220014038,13.697140994065744,13.738672674407141,-0.004384976688562664,0.1955788295735508,58.78205108642578
MEGNet,megnet_emb,matbench_jdft2d,2,8,7.876802418437706,2.070898614639982,16.886761812024414,13.910889359020233,13.66332724303563,-0.01077355460385439,0.14534455347937353,78.10436248779297
MEGNet,megnet_emb,matbench_jdft2d,3,8,7.8947115458554045,2.0620926200422596,16.655282438998427,13.9553478838973,13.729228883790807,0.0030046788917684015,0.11455399098405032,44.923221588134766
MEGNet,megnet_emb,matbench_jdft2d,4,8,7.863148722334297,2.0678387578153794,17.040793106129204,13.987978942602755,13.848550793709729,0.010098337355910163,0.18544220563409772,52.37869644165039
MEGNet,megnet_emb,matbench_phonons,0,8,7.860807409386492,2.0712495283594197,13.771214303949524,11.50138721660996,11.239021219377031,-0.032232978466654155,0.25611431040990107,35.297203063964844
MEGNet,megnet_emb,matbench_phonons,1,8,7.887490972841225,2.064036680668564,14.251468673847935,11.742675011144632,11.195056562616891,0.01605685706764938,0.1010301556184141,35.19483184814453
MEGNet,megnet_emb,matbench_phonons,2,8,7.868921635468449,2.054861403588978,13.815506407383475,11.749336722688582,11.425857272931266,-0.005947662949873955,0.08372623089506799,34.863136291503906
MEGNet,megnet_emb,matbench_phonons,3,8,7.897061799110865,2.074748137276823,14.11979257540953,11.994138205460132,11.630877950068843,-0.0394659191501918,0.12070100889019506,34.555877685546875
MEGNet,megnet_emb,matbench_phonons,4,8,7.870112292873171,2.0590801415589985,14.04854040104104,11.725992925500108,11.625431094712942,0.01927818874691773,0.11737053822696358,32.990089416503906
MEGNet,megnet_emb,matbench_dielectric,0,8,7.893125435248877,2.0682989896187967,18.104279341575285,15.207753276644752,14.680540091962028,-0.012243472784791876,0.19351023435942105,0.2428307086229324
MEGNet,megnet_emb,matbench_dielectric,1,8,7.864248260286193,2.0626177899260414,17.815231913718833,14.873291243655265,14.348736222872585,0.03654761307635397,0.15866350137339374,0.3290224373340606
MEGNet,megnet_emb,matbench_dielectric,2,8,7.81721994894923,2.0673331127188024,17.830421661155583,14.518333928267609,14.332462364060166,0.0204919096804546,0.18839005177891432,0.467822790145874
MEGNet,megnet_emb,matbench_dielectric,3,8,7.884701119777475,2.0605766869854194,17.66008671685709,14.734954404642387,14.656885459899511,-0.006010780387620834,0.12987884456013732,0.3683082461357116
