Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,MAE
CGCNN,cgcnn_hm,matbench_jdft2d,0,8,6.8876906823101836,1.8956734610695185,25.311621461094624,18.927962374390546,10.625375819787138,0.2203397062681971,0.34848947255768575,34.62640380859375
CGCNN,cgcnn_hm,matbench_jdft2d,1,8,7.092441621570684,2.010180812245954,24.228878361658023,19.439985646102354,10.372372145959773,0.32072288292511836,0.22529221254038495,49.55003356933594
CGCNN,cgcnn_hm,matbench_jdft2d,2,8,6.743733707774557,1.994588777998121,25.888190492337877,21.166034748612482,15.123725464572741,0.2856147805039441,0.18130338972717072,70.81800079345703
CGCNN,cgcnn_hm,matbench_jdft2d,3,8,7.2503441406367415,2.0235033255205916,20.332424374308847,15.557966658380849,12.622752483162154,0.24545348207249804,0.3357220435898863,45.95347213745117
CGCNN,cgcnn_hm,matbench_jdft2d,4,8,7.332720421712857,2.0484829248754677,20.979346404539445,15.446961438954663,13.209258978357763,0.26032785778197964,0.17068075293093873,51.92833709716797
CGCNN,cgcnn_hm,matbench_phonons,0,8,7.428016931555749,2.0290880235625934,19.272839166324765,16.060451051589133,11.796051725033697,0.15535815950899518,0.22935253230636715,69.1773681640625
CGCNN,cgcnn_hm,matbench_phonons,1,8,7.148347377114439,2.0235629780758924,17.65898835420309,13.30552684503986,10.924896052265451,0.31446701626052087,0.23001777519881597,86.75726318359375
CGCNN,cgcnn_hm,matbench_phonons,2,8,7.168748067465172,2.038929018329953,20.060447678171073,15.380022761509988,12.841486514741746,0.14057136822094313,0.2864187182411885,92.11444091796876
CGCNN,cgcnn_hm,matbench_phonons,3,8,6.580926885578128,1.995359652081525,25.375315573797977,22.473058633362704,8.43214205221116,0.19457069920926467,0.17454346459429015,76.37205505371094
CGCNN,cgcnn_hm,matbench_phonons,4,8,7.081429027964909,1.897680542259172,20.039624370504562,16.212176905699582,10.17987280019068,0.07718950121764229,0.23830094215213252,66.24711608886719
CGCNN,cgcnn_hm,matbench_dielectric,0,8,7.035343007122389,1.999393997025393,25.462104936038077,19.50412256669602,13.769432359284654,0.37967450112532836,0.29718425139268606,0.3953286409378052
CGCNN,cgcnn_hm,matbench_dielectric,1,8,6.681580677583249,2.0251902620586426,31.49181725387092,25.851434112350432,19.33392129095769,0.41474662469551227,0.38325411729403563,0.506920576095581
CGCNN,cgcnn_hm,matbench_dielectric,2,8,6.988726066698171,2.0042382371205676,23.8326369854923,16.935386382723376,12.514763951239898,0.5156192302816862,0.3184098652370554,0.5470923185348511
CGCNN,cgcnn_hm,matbench_dielectric,3,8,6.7545879556369215,1.9768658307847549,30.314379225781796,24.59640385378287,17.214746246198303,0.4267785282700823,0.3109571832138183,0.4698018133640289
CGCNN,cgcnn_hm,matbench_dielectric,4,8,6.44553850706428,2.013295030492639,30.589084744405508,25.90863477589202,17.106890177851945,0.18981778225437232,0.1502994686881666,0.5180582404136658
CGCNN,cgcnn_hm,matbench_log_gvrh,0,8,6.781201548802198,1.9889571871101204,30.800146718840914,24.61506844815524,14.162897213900415,0.33575693313641586,0.2608595335168906,0.1070615798234939
CGCNN,cgcnn_hm,matbench_log_gvrh,1,8,6.978030789801811,1.9933966654642672,31.416299710006527,26.30365470241426,14.355336929366873,0.3351223615172027,0.24702919230352544,0.1006390377879142
CGCNN,cgcnn_hm,matbench_log_gvrh,2,8,6.953844399242758,2.041777697576038,31.102742373192797,25.630297452869662,15.444440099831986,0.3287099725526075,0.4022950554809947,0.0968897566199302
CGCNN,cgcnn_hm,matbench_log_gvrh,3,8,6.519086063433832,2.0359796797495457,33.140191443174565,26.478440061341022,14.030404559855358,0.33137731794258063,0.32588770562570246,0.1059889495372772
CGCNN,cgcnn_hm,matbench_log_gvrh,4,8,7.5167935981295,1.9967336317897195,22.928423837065488,16.011816718817105,14.452631230598247,0.30554257804204715,0.33236644188075276,0.1037453711032867
CGCNN,cgcnn_hm,matbench_log_kvrh,0,8,7.4494686906551575,2.0445858377866895,24.031844865787633,17.85231987650498,13.949060050753701,0.41139281088498186,0.37204387818575296,0.0724391490221023
CGCNN,cgcnn_hm,matbench_log_kvrh,1,8,6.877248279535952,1.8454984749184535,30.45061483545295,24.267332130167443,14.796868243333021,0.4954435642451823,0.440760700026368,0.075664184987545
