task_name,fold,r2_score,mae
matbench_jdft2d,0,-0.31058260855821573,40.33674582531259
matbench_jdft2d,1,0.07383576262538116,55.31755787195485
matbench_jdft2d,2,-0.07920233752681272,73.50001295992483
matbench_jdft2d,3,0.07703469568669685,39.531217033532975
matbench_jdft2d,4,-0.04364375256092612,56.09599792715821
matbench_phonons,0,0.9108612250653588,76.26451657661396
matbench_phonons,1,0.9320346175991263,65.88416235811106
matbench_phonons,2,0.9337810524216356,70.93128306493642
matbench_phonons,3,0.9115140166339145,68.91174014817433
matbench_phonons,4,0.9365173874532041,58.90439080473276
matbench_dielectric,0,-0.06915798419132169,0.3226924015848861
matbench_dielectric,1,0.4021946971805188,0.34521357796165586
matbench_dielectric,2,0.03316152255432914,0.512491214492159
matbench_dielectric,3,0.061979004156734074,0.4449354792718989
matbench_dielectric,4,-0.26164411999144144,0.4586683641777936
matbench_log_gvrh,0,0.7749232066946741,0.12185042090386627
matbench_log_gvrh,1,0.7539971234221814,0.12262668165476322
matbench_log_gvrh,2,0.755859428498792,0.125466347254508
matbench_log_gvrh,3,0.7594622612103401,0.12347189305199513
matbench_log_gvrh,4,0.7438376215906586,0.1266837717061095
matbench_log_kvrh,0,0.8022805816834442,0.10101550055782306
matbench_log_kvrh,1,0.7717841828109773,0.0998086640512632
matbench_log_kvrh,2,0.7801870545172302,0.10236863985950086
matbench_log_kvrh,3,0.7623695556893202,0.10862545094141716
matbench_log_kvrh,4,0.7596384202671437,0.1076974841059601
matbench_perovskites,0,-0.14170767272426277,0.591086664504642
matbench_perovskites,1,-0.100945999069872,0.6017093894047638
matbench_perovskites,2,-0.10212749264288079,0.5836230032953488
matbench_perovskites,3,-0.14084634570782484,0.5873659830680841
matbench_perovskites,4,-0.08556403150055214,0.5705763011155144
matbench_mp_gap,0,0.8393788591269533,0.33663487344408116
matbench_mp_gap,1,0.830385716827525,0.33925578842563514
matbench_mp_gap,2,0.8429090941212831,0.33794263254400375
matbench_mp_gap,3,0.8383887227899012,0.3397260560264683
matbench_mp_gap,4,0.8347735176423463,0.34427314706714834
matbench_mp_e_form,0,0.929843822658264,0.14835960002604043
matbench_mp_e_form,1,0.926514279813316,0.14843277665926066
matbench_mp_e_form,2,0.9254932595972932,0.15151583207929079
matbench_mp_e_form,3,0.9317114280745642,0.14669813787792063
matbench_mp_e_form,4,0.9282765492245878,0.14970900730975442
