Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Inverse_Squared_Distance,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,QCI,MAE
CGCNN,cgcnn_hm,matbench_jdft2d,0,8,6.8876906823101836,1.8956734610695185,0.5128078618988873,41.233502402110034,33.01104148243808,5.598505555580737,0.2203397062681971,0.23786120636756047,2.8058081329350033,34.62640380859375
CGCNN,cgcnn_hm,matbench_jdft2d,1,8,7.092441621570684,2.010180812245954,1.0102100746989506,39.82162124391278,33.950083845440325,19.55798810167882,0.32072288292511836,0.24622911698883665,2.4419790780354567,49.55003356933594
CGCNN,cgcnn_hm,matbench_jdft2d,2,8,6.743733707774557,1.994588777998121,0.40788181518327277,41.14575561612647,36.19920038205431,6.722873343756963,0.2856147805039441,0.2444653280477957,2.65919592683503,70.81800079345703
CGCNN,cgcnn_hm,matbench_jdft2d,3,8,7.2503441406367415,2.0235033255205916,0.6960195882222256,38.8933489580295,32.635584574591675,17.565531358148856,0.24545348207249804,0.2150939906868314,2.3158495723097334,45.95347213745117
CGCNN,cgcnn_hm,matbench_jdft2d,4,8,7.332720421712857,2.0484829248754677,0.8105776998830212,39.412704955765555,31.524244753986395,24.52321423259922,0.26032785778197964,0.1666912504701582,2.2641101521335925,51.92833709716797
CGCNN,cgcnn_hm,matbench_phonons,0,8,7.428016931555749,2.0290880235625934,1.2544711338187624,32.797961682251376,28.252501386134266,14.538625485503367,0.15535815950899518,0.1363841362289997,1.9119789671218055,69.1773681640625
CGCNN,cgcnn_hm,matbench_phonons,1,8,7.148347377114439,2.0235629780758924,0.3592514350069243,35.12591905230507,29.560941980910762,9.762867035613146,0.31446701626052087,0.18949109827841498,2.8674054946596494,86.75726318359375
CGCNN,cgcnn_hm,matbench_phonons,2,8,7.168748067465172,2.038929018329953,0.7841418509038011,33.729575440830885,27.574029398407014,7.733455328327881,0.14057136822094313,0.17392449028380066,2.887348023698106,92.11444091796876
CGCNN,cgcnn_hm,matbench_phonons,3,8,6.580926885578128,1.995359652081525,0.8023741181450298,35.162398462919356,30.97322809757669,4.474649876924116,0.19457069920926467,0.18415882991461954,2.5256511523504246,76.37205505371094
CGCNN,cgcnn_hm,matbench_phonons,4,8,7.081429027964907,1.897680542259172,0.7432797672142718,35.179285278143915,29.990002206040266,6.453292868083129,0.07718950121764229,0.15463870347283407,2.524733795810873,66.24711608886719
