Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Inverse_Squared_Distance,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,QCI,MAE
MEGNet,megnet_hm,matbench_jdft2d,0,8,5.503349975555513,2.0686796446093263,0.43904529077001203,46.12340333441958,34.67124463358945,1.2523350184066628,0.07335394628188438,0.15793392531988337,5.463599866324777,35.54682159423828
MEGNet,megnet_hm,matbench_jdft2d,1,8,5.428656365336477,2.062654648728363,0.3672919677583304,43.197006726702725,29.050237598753952,11.177296015930194,0.11922330855091147,0.1980697219640852,6.028133909106958,53.650299072265625
MEGNet,megnet_hm,matbench_jdft2d,2,8,5.111406579593839,2.057262512734004,0.37257445284099294,44.55717882037041,31.576706713149257,4.2225152040036855,0.14469438610144994,0.2564309307306716,4.9896423113994555,72.97830200195312
MEGNet,megnet_hm,matbench_jdft2d,3,8,4.984070606447997,2.068215174080725,0.31865876133895193,46.15683780328191,36.295960639853554,1.3631521516690002,0.16072064380912307,0.2527274926207463,5.043946817537467,45.44623947143555
MEGNet,megnet_hm,matbench_jdft2d,4,8,5.182245077374966,2.0686635215471427,0.3662528716360892,45.454915247506456,33.53979657482472,6.334922567498214,0.03339494077166359,0.1852072941575468,5.126833981320831,51.41798400878906
MEGNet,megnet_hm,matbench_phonons,0,8,5.695716791041648,2.061897231444859,0.2466358650731021,34.68096992836647,25.090058204053477,6.680122183967669,0.05635237134952764,0.22733264465103722,4.137194511462659,37.15433120727539
MEGNet,megnet_hm,matbench_phonons,1,8,6.09565842090141,2.0641474602029852,0.20858717704203317,36.89903343553717,29.740382753978807,4.930360779872491,0.09050199152523128,0.1747518819155114,3.186255353847843,31.56780433654785
MEGNet,megnet_hm,matbench_phonons,2,8,5.970036276321802,2.061678669531147,0.22820718888268204,34.376555193795106,26.548734385100158,4.723317522154893,0.06646438722521378,0.18313333017950056,2.7451509166644428,31.6718807220459
MEGNet,megnet_hm,matbench_phonons,3,8,5.943999688557419,2.078504487505966,0.22073444830454275,36.04009553502799,27.847380771304078,3.743077595417222,0.054989366697047536,0.18578063190092353,3.249921227678688,31.14019203186035
MEGNet,megnet_hm,matbench_phonons,4,8,5.587099167322888,2.069616314003321,0.24618376382133297,36.23082740226681,27.30090926253768,3.419090239713621,0.12774738458585277,0.2279779618800231,5.530665481552698,27.55644798278809
MEGNet,megnet_hm,matbench_dielectric,0,8,5.3949752993568945,2.056079170316366,0.15869906238285855,44.83055108755758,35.19187680956407,13.068619819227768,0.3118243591620341,0.28656638115775623,3.396204462471644,0.2190350592136383
MEGNet,megnet_hm,matbench_dielectric,1,8,5.519411375311243,2.0688891365415447,0.16319593380062,43.908358889683946,34.72608243889958,7.576145942401932,0.2721380394480064,0.2523108719515887,2.8155156409340547,0.302244633436203
MEGNet,megnet_hm,matbench_dielectric,2,8,4.709453378250019,2.0542340282927407,0.1693793101515381,46.569681631039224,36.5609182962462,9.053236004904244,0.4484474820696183,0.31641319679001645,4.2347657201842805,0.4581956267356872
MEGNet,megnet_hm,matbench_dielectric,3,8,4.962366042661757,2.054508587740462,0.15770677967127664,45.33995907589899,35.55932293632404,10.57081201913147,0.3859886857812169,0.25454685869433513,3.3746525388922213,0.355884850025177
MEGNet,megnet_hm,matbench_dielectric,4,8,4.858285048149459,2.039419388706108,0.15358542962519717,45.65840723695189,35.47007503905348,9.201965810169394,0.38097318759719107,0.26749081793826596,4.770546139143618,0.3252992331981659
MEGNet,megnet_hm,matbench_log_gvrh,0,8,6.158579288587551,2.0574275351522724,0.14549059048892943,44.5371271486118,34.735174212970655,19.93916213848493,0.40624298818715765,0.32456676855745875,3.104079521443584,0.095697320997715
MEGNet,megnet_hm,matbench_log_gvrh,1,8,6.055435257323616,2.0425706368580205,0.16235763585481205,44.54709381095855,34.233933625517736,19.86155759399141,0.2817769523732623,0.2506312536346055,3.0285376095002055,0.0980541706085205
MEGNet,megnet_hm,matbench_log_gvrh,2,8,6.29748601078327,2.045989387196286,0.16819346233322,44.396109737886896,35.51402475495631,12.430279417053546,0.41057928585705383,0.3235193703073768,3.303348778935364,0.0946890637278556
MEGNet,megnet_hm,matbench_log_gvrh,3,8,6.032692815558233,2.038444101537803,0.16181897001626025,44.811404471514294,35.285765985397774,18.96846411498436,0.2800249737642636,0.23109816246694487,2.830109660530964,0.0992141291499137
MEGNet,megnet_hm,matbench_log_gvrh,4,8,6.489482063946303,2.039069794691965,0.14589599273753662,44.59822759943537,35.62125197388183,17.706225447903908,0.3561892182380897,0.2908872684088818,2.7568956575436516,0.0992723032832145
MEGNet,megnet_hm,matbench_log_kvrh,0,8,6.325250885265804,2.0336026917969687,0.18128369249040285,46.92560618984587,39.30497044189619,10.773354359950961,0.4556530396366125,0.3183921057624919,3.7264658316534325,0.0662681236863136
MEGNet,megnet_hm,matbench_log_kvrh,1,8,6.2054900013117935,2.048378751794157,0.1681915005349622,46.72336492915535,38.31342509751135,12.217721200468878,0.42071023345755376,0.3298310335573421,3.446982713330922,0.0686960890889167
MEGNet,megnet_hm,matbench_log_kvrh,2,8,6.6152087441380125,2.042925525924539,0.13937289902353733,45.46473232770117,37.83149794115364,15.300605311046112,0.37933516315949983,0.2863731700221762,2.7527201753616932,0.0671212598681449
MEGNet,megnet_hm,matbench_log_kvrh,3,8,6.261720236844391,2.019994809796123,0.16181019718123882,45.91485821092887,36.92724513895226,12.626891707625049,0.5312283251312878,0.34882182222381836,4.516569515818157,0.0752314403653144
MEGNet,megnet_hm,matbench_log_kvrh,4,8,6.514765047110233,2.0184929800753544,0.17233802033823156,45.8077419724025,36.73822340689274,12.533366498726547,0.3236878597111267,0.3069449401483348,3.741614009326967,0.0679202303290367
MEGNet,megnet_hm,matbench_perovskites,0,8,6.749319375474191,2.0606180194393406,0.09920577483483073,29.96391663045382,24.82709048074416,9.432526477184641,0.17598344701646218,0.20137589724796606,2.7712569922217285,0.0452129356563091
